,Node,Service,Reliability,Flexibility,Time Period,Node Label,Infrastructure Quality,Freight,Timestamp,order_rating,Utilization Rate,Political Stability,Economic Stability,Node Index
0,ARTC,-1,-1,-1,1,49,-1,-1,2023-01-01 00:00:00+00:00,-1,-1,-1,-1,0
1,ARTC,-1,-1,-1,2,49,-1,-1,2023-01-08 00:00:00+00:00,-1,-1,-1,-1,0
2,ARTC,-1,-1,-1,3,49,-1,-1,2023-01-15 00:00:00+00:00,-1,-1,-1,-1,0
3,ARTC,-1,-1,-1,4,49,-1,-1,2023-01-22 00:00:00+00:00,-1,-1,-1,-1,0
4,ARTC,-1,-1,-1,5,49,-1,-1,2023-01-29 00:00:00+00:00,-1,-1,-1,-1,0
5,ARTC,-1,-1,-1,6,49,-1,-1,2023-02-05 00:00:00+00:00,-1,-1,-1,-1,0
6,ARTC,-1,-1,-1,7,49,-1,-1,2023-02-12 00:00:00+00:00,-1,-1,-1,-1,0
7,ARTC,-1,-1,-1,8,49,-1,-1,2023-02-19 00:00:00+00:00,-1,-1,-1,-1,0
8,ARTC,-1,-1,-1,9,49,-1,-1,2023-02-26 00:00:00+00:00,-1,-1,-1,-1,0
9,ARTC,-1,-1,-1,10,49,-1,-1,2023-03-05 00:00:00+00:00,-1,-1,-1,-1,0
10,ARTC,-1,-1,-1,11,49,-1,-1,2023-03-12 00:00:00+00:00,-1,-1,-1,-1,0
11,ARTC,-1,-1,-1,12,49,-1,-1,2023-03-19 00:00:00+00:00,-1,-1,-1,-1,0
12,ARTC,-1,-1,-1,13,49,-1,-1,2023-03-26 00:00:00+00:00,-1,-1,-1,-1,0
13,ARTC,-1,-1,-1,14,49,-1,-1,2023-04-02 00:00:00+00:00,-1,-1,-1,-1,0
14,ARTC,-1,-1,-1,15,49,-1,-1,2023-04-09 00:00:00+00:00,-1,-1,-1,-1,0
15,ARTC,-1,-1,-1,16,49,-1,-1,2023-04-16 00:00:00+00:00,-1,-1,-1,-1,0
16,ARTC,-1,-1,-1,17,49,-1,-1,2023-04-23 00:00:00+00:00,-1,-1,-1,-1,0
17,ARTC,-1,-1,-1,18,49,-1,-1,2023-04-30 00:00:00+00:00,-1,-1,-1,-1,0
18,ARTC,-1,-1,-1,19,49,-1,-1,2023-05-07 00:00:00+00:00,-1,-1,-1,-1,0
19,ARTC,-1,-1,-1,20,49,-1,-1,2023-05-14 00:00:00+00:00,-1,-1,-1,-1,0
20,ARTC,-1,-1,-1,21,49,-1,-1,2023-05-21 00:00:00+00:00,-1,-1,-1,-1,0
21,ARTC,-1,-1,-1,22,49,-1,-1,2023-05-28 00:00:00+00:00,-1,-1,-1,-1,0
22,ARTC,-1,-1,-1,23,49,-1,-1,2023-06-04 00:00:00+00:00,-1,-1,-1,-1,0
23,ARTC,-1,-1,-1,24,49,-1,-1,2023-06-11 00:00:00+00:00,-1,-1,-1,-1,0
24,ARTC,-1,-1,-1,25,49,-1,-1,2023-06-18 00:00:00+00:00,-1,-1,-1,-1,0
25,ARTC,-1,-1,-1,26,49,-1,-1,2023-06-25 00:00:00+00:00,-1,-1,-1,-1,0
26,ARTC,-1,-1,-1,27,49,-1,-1,2023-07-02 00:00:00+00:00,-1,-1,-1,-1,0
27,ARTC,-1,-1,-1,28,49,-1,-1,2023-07-09 00:00:00+00:00,-1,-1,-1,-1,0
28,ARTC,-1,-1,-1,29,49,-1,-1,2023-07-16 00:00:00+00:00,-1,-1,-1,-1,0
29,ARTC,-1,-1,-1,30,49,-1,-1,2023-07-23 00:00:00+00:00,-1,-1,-1,-1,0
30,ARTC,-1,-1,-1,31,49,-1,-1,2023-07-30 00:00:00+00:00,-1,-1,-1,-1,0
31,ARTC,-1,-1,-1,32,49,-1,-1,2023-08-06 00:00:00+00:00,-1,-1,-1,-1,0
32,ARTC,-1,-1,-1,33,49,-1,-1,2023-08-13 00:00:00+00:00,-1,-1,-1,-1,0
33,ARTC,-1,-1,-1,34,49,-1,-1,2023-08-20 00:00:00+00:00,-1,-1,-1,-1,0
34,ARTC,-1,-1,-1,35,49,-1,-1,2023-08-27 00:00:00+00:00,-1,-1,-1,-1,0
35,ARTC,-1,-1,-1,36,49,-1,-1,2023-09-03 00:00:00+00:00,-1,-1,-1,-1,0
36,ARTC,-1,-1,-1,37,49,-1,-1,2023-09-10 00:00:00+00:00,-1,-1,-1,-1,0
37,ARTC,-1,-1,-1,38,49,-1,-1,2023-09-17 00:00:00+00:00,-1,-1,-1,-1,0
38,ARTC,-1,-1,-1,39,49,-1,-1,2023-09-24 00:00:00+00:00,-1,-1,-1,-1,0
39,ARTC,-1,-1,-1,40,49,-1,-1,2023-10-01 00:00:00+00:00,-1,-1,-1,-1,0
40,ARTC,-1,-1,-1,41,49,-1,-1,2023-10-08 00:00:00+00:00,-1,-1,-1,-1,0
41,ARTC,-1,-1,-1,42,49,-1,-1,2023-10-15 00:00:00+00:00,-1,-1,-1,-1,0
42,ARTC,-1,-1,-1,43,49,-1,-1,2023-10-22 00:00:00+00:00,-1,-1,-1,-1,0
43,ARTC,-1,-1,-1,44,49,-1,-1,2023-10-29 00:00:00+00:00,-1,-1,-1,-1,0
44,ARTC,-1,-1,-1,45,49,-1,-1,2023-11-05 00:00:00+00:00,-1,-1,-1,-1,0
45,ARTC,-1,-1,-1,46,49,-1,-1,2023-11-12 00:00:00+00:00,-1,-1,-1,-1,0
46,ARTC,-1,-1,-1,47,49,-1,-1,2023-11-19 00:00:00+00:00,-1,-1,-1,-1,0
47,ARTC,-1,-1,-1,48,49,-1,-1,2023-11-26 00:00:00+00:00,-1,-1,-1,-1,0
48,ARTC,-1,-1,-1,49,49,-1,-1,2023-12-03 00:00:00+00:00,-1,-1,-1,-1,0
49,ARTC,-1,-1,-1,50,49,-1,-1,2023-12-10 00:00:00+00:00,-1,-1,-1,-1,0
50,ARTC,-1,-1,-1,51,49,-1,-1,2023-12-17 00:00:00+00:00,-1,-1,-1,-1,0
51,ARTC,-1,-1,-1,52,49,-1,-1,2023-12-24 00:00:00+00:00,-1,-1,-1,-1,0
2652,Almería International Airport,-1,-1,-1,1,1,5.6,0.000900534,2023-01-01 00:00:00+00:00,-1,-1,-1,-1,1
2653,Almería International Airport,-1,-1,-1,2,1,5.6,0.001400534,2023-01-08 00:00:00+00:00,-1,-1,-1,-1,1
2654,Almería International Airport,-1,-1,-1,3,1,5.6,0.001900534,2023-01-15 00:00:00+00:00,-1,-1,-1,-1,1
2655,Almería International Airport,-1,-1,-1,4,1,5.6,0.002400534,2023-01-22 00:00:00+00:00,-1,-1,-1,-1,1
2656,Almería International Airport,-1,-1,-1,5,1,5.6,0.001900534,2023-01-29 00:00:00+00:00,-1,-1,-1,-1,1
2657,Almería International Airport,-1,-1,-1,6,1,5.6,0.001400534,2023-02-05 00:00:00+00:00,-1,-1,-1,-1,1
2658,Almería International Airport,-1,-1,-1,7,1,5.6,0.002400534,2023-02-12 00:00:00+00:00,-1,-1,-1,-1,1
2659,Almería International Airport,-1,-1,-1,8,1,5.6,0.001900534,2023-02-19 00:00:00+00:00,-1,-1,-1,-1,1
2660,Almería International Airport,-1,-1,-1,9,1,5.6,0.001400534,2023-02-26 00:00:00+00:00,-1,-1,-1,-1,1
2661,Almería International Airport,-1,-1,-1,10,1,5.6,0.000900534,2023-03-05 00:00:00+00:00,-1,-1,-1,-1,1
2662,Almería International Airport,-1,-1,-1,11,1,5.6,0.000400534,2023-03-12 00:00:00+00:00,-1,-1,-1,-1,1
2663,Almería International Airport,-1,-1,-1,12,1,5.6,0.000900534,2023-03-19 00:00:00+00:00,-1,-1,-1,-1,1
2664,Almería International Airport,-1,-1,-1,13,1,5.6,0.001400534,2023-03-26 00:00:00+00:00,-1,-1,-1,-1,1
2665,Almería International Airport,-1,-1,-1,14,1,5.6,0.001900534,2023-04-02 00:00:00+00:00,-1,-1,-1,-1,1
2666,Almería International Airport,-1,-1,-1,15,1,5.6,0.002400534,2023-04-09 00:00:00+00:00,-1,-1,-1,-1,1
2667,Almería International Airport,-1,-1,-1,16,1,5.6,0.001900534,2023-04-16 00:00:00+00:00,-1,-1,-1,-1,1
2668,Almería International Airport,-1,-1,-1,17,1,5.6,0.001400534,2023-04-23 00:00:00+00:00,-1,-1,-1,-1,1
2669,Almería International Airport,-1,-1,-1,18,1,5.6,0.002400534,2023-04-30 00:00:00+00:00,-1,-1,-1,-1,1
2670,Almería International Airport,-1,-1,-1,19,1,5.6,0.001900534,2023-05-07 00:00:00+00:00,-1,-1,-1,-1,1
2671,Almería International Airport,-1,-1,-1,20,1,5.6,0.001400534,2023-05-14 00:00:00+00:00,-1,-1,-1,-1,1
2672,Almería International Airport,-1,-1,-1,21,1,5.6,0.000900534,2023-05-21 00:00:00+00:00,-1,-1,-1,-1,1
2673,Almería International Airport,-1,-1,-1,22,1,5.6,0.000400534,2023-05-28 00:00:00+00:00,-1,-1,-1,-1,1
2674,Almería International Airport,-1,-1,-1,23,1,5.6,0.000900534,2023-06-04 00:00:00+00:00,-1,-1,-1,-1,1
2675,Almería International Airport,-1,-1,-1,24,1,5.6,0.001400534,2023-06-11 00:00:00+00:00,-1,-1,-1,-1,1
2676,Almería International Airport,-1,-1,-1,25,1,5.6,0.001900534,2023-06-18 00:00:00+00:00,-1,-1,-1,-1,1
